,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,Pozo Colorado,0,PY,1591809890,43,-23.49,-58.8,90.73,13.0
131,Cayenne,4,GF,1591809709,58,4.93,-52.33,87.8,8.05
132,Galesong,20,ID,1591809890,100,-5.32,119.37,75.2,2.24
133,Saskylakh,0,RU,1591809890,58,71.92,114.08,44.35,14.63
134,Nayoro,100,JP,1591809890,84,44.35,142.46,60.12,3.38
135,Aklavik,90,CA,1591809891,93,68.22,-135.01,41.0,3.36
136,Port Alfred,64,ZA,1591809891,68,-33.59,26.89,64.99,5.01
137,Talcahuano,90,CL,1591809891,87,-36.72,-73.12,53.6,10.29
138,Jamestown,75,US,1591809873,65,42.1,-79.24,87.01,11.41
139,Aksu,84,CN,1591809891,34,41.12,80.26,73.15,7.11
140,Dīr,23,PK,1591809891,46,35.21,71.88,68.54,6.46
141,Sulęcin,75,PL,1591809891,68,52.44,15.12,66.99,11.41
142,Bonavista,90,CA,1591809891,83,48.65,-53.11,43.0,1.99
143,Nabire,100,ID,1591809891,89,-3.37,135.48,75.61,4.34
144,Bonthe,83,SL,1591809891,75,7.53,-12.51,83.44,11.34
145,Hobyo,19,SO,1591809891,64,5.35,48.53,82.71,25.99
146,Devils Lake,40,US,1591809891,52,48.11,-98.87,64.4,18.34
147,Mago,0,RU,1591809891,93,53.25,140.18,40.6,1.72
148,Bandarbeyla,48,SO,1591809891,66,9.49,50.81,82.69,28.23
149,Fairbanks,1,US,1591809739,58,64.84,-147.72,64.0,2.73
150,Rome,40,US,1591809680,61,43.21,-75.46,79.0,13.87
151,Mossamedes,1,AO,1591809891,72,-15.2,12.15,68.63,16.62
152,Tura,100,IN,1591809891,86,25.52,90.22,77.5,3.78
153,Vardø,40,NO,1591809680,71,70.37,31.11,48.2,26.4
154,Mufumbwe,13,ZM,1591809891,46,-13.68,24.8,62.74,2.71
155,Graaff-Reinet,0,ZA,1591809891,47,-32.25,24.53,59.0,5.01
156,Garissa,85,KE,1591809891,47,-0.45,39.64,81.97,15.9
157,Erenhot,49,CN,1591809892,23,43.65,111.98,68.34,11.83
158,Itoman,20,JP,1591809892,94,26.12,127.67,80.6,11.41
159,Narsaq,75,GL,1591809892,75,60.92,-46.05,42.8,9.17
160,Rabaul,98,PG,1591809892,79,-4.2,152.17,79.56,6.13
161,Tefé,40,BR,1591809892,74,-3.35,-64.71,87.8,3.36
162,Bilibino,100,RU,1591809892,70,68.05,166.44,56.39,3.31
163,Manggar,35,ID,1591809892,77,-2.88,108.27,82.87,12.95
164,Bonfim,78,BR,1591809892,62,3.08,-59.95,86.7,3.15
165,Udachny,2,RU,1591809892,41,66.42,112.4,41.0,2.24
166,Kampong Cham,100,KH,1591809892,92,11.99,105.46,77.2,7.74
167,Ciudad Bolivar,64,VE,1591809892,48,8.12,-63.55,91.58,6.33
168,Ponta do Sol,40,PT,1591809892,56,32.67,-17.1,69.8,12.75
169,Hervey Bay,23,AU,1591809892,97,-25.3,152.85,64.0,5.99
170,Badvel,99,IN,1591809892,82,14.75,79.05,78.37,8.12
171,Constitución,25,CL,1591809892,58,-35.33,-72.42,56.21,5.37
172,Dingle,100,PH,1591809892,85,11.0,122.67,78.94,3.29
173,Cherskiy,100,RU,1591809892,80,68.75,161.3,40.03,7.25
174,Arraial do Cabo,75,BR,1591809627,74,-22.97,-42.03,82.4,4.7
175,Takoradze,100,GH,1591809859,83,4.88,-1.76,80.22,13.69
176,Upernavik,0,GL,1591809892,89,72.79,-56.15,33.94,13.04
177,Itapirapuã,0,BR,1591809892,34,-15.82,-50.61,89.64,7.0
178,Tuktoyaktuk,90,CA,1591809892,93,69.45,-133.04,35.6,5.82
179,Tezu,25,IN,1591809892,78,27.92,96.17,76.71,4.45
180,Samarai,100,PG,1591809784,87,-10.62,150.67,79.21,10.47
181,Aswān,0,EG,1591809893,9,24.09,32.91,98.44,10.56
182,Caravelas,1,BR,1591809893,61,-17.71,-39.25,82.51,7.78
183,Bossangoa,53,CF,1591809893,85,6.49,17.46,74.35,3.04
184,Saquena,23,PE,1591809783,42,-4.67,-73.52,95.0,1.7
185,Kaitangata,100,NZ,1591809893,45,-46.28,169.85,53.01,6.38
186,Mount Gambier,90,AU,1591809893,93,-37.83,140.77,44.6,6.93
187,Kearney,1,US,1591809619,42,40.7,-99.08,68.0,21.92
188,Santa Maria,90,BR,1591809678,82,-29.68,-53.81,62.6,10.29
189,Yulara,72,AU,1591809893,38,-25.24,130.99,42.8,3.36
190,Prudy,16,RU,1591809893,85,57.57,46.27,65.16,3.74
191,Cravo Norte,99,CO,1591809893,73,6.3,-70.2,84.79,2.8
192,Ancud,90,CL,1591809893,100,-41.87,-73.82,54.0,8.05
193,Boa Vista,75,BR,1591809843,55,2.82,-60.67,86.0,4.7
194,Mana,19,GF,1591809893,78,5.66,-53.78,82.49,7.72
195,Sumenep,60,ID,1591809893,82,-7.02,113.87,78.42,8.19
196,Vao,32,NC,1591809893,79,-22.67,167.48,71.51,26.51
197,Te Anau,80,NZ,1591809893,77,-45.42,167.72,48.78,8.46
198,Conde,75,BR,1591809893,88,-7.26,-34.91,78.8,10.29
199,Tsimmerbude,75,RU,1591809893,88,54.67,20.13,64.4,6.71
200,Poronaysk,40,RU,1591809893,65,49.22,143.12,56.64,5.03
201,Bambous Virieux,75,MU,1591809893,78,-20.34,57.76,71.6,18.34
202,Aleksandrovskoye,40,RU,1591809893,51,44.71,43.0,80.6,6.71
203,Klamath Falls,1,US,1591809893,52,42.22,-121.78,68.0,4.7
204,Shimoda,74,JP,1591809894,92,34.67,138.95,68.0,12.46
205,Narón,32,ES,1591809894,67,43.52,-8.15,62.6,9.17
206,Luanda,20,AO,1591809894,69,-8.84,13.23,77.0,11.41
207,Wanaka,77,NZ,1591809894,78,-44.7,169.15,43.36,7.78
208,Ojinaga,1,MX,1591809894,8,29.57,-104.42,89.6,5.82
209,Burnie,100,AU,1591809894,91,-41.07,145.92,51.01,7.0
210,Mt. Pleasant,1,US,1591809707,74,32.79,-79.86,90.0,10.29
211,Kautokeino,10,NO,1591809894,43,69.01,23.04,53.46,15.57
212,Voh,22,NC,1591809894,86,-20.97,164.7,68.36,6.02
213,Slobidka,34,UA,1591809894,60,47.89,29.35,78.44,1.12
214,Hamilton,90,US,1591809763,74,39.18,-84.53,87.01,16.11
215,Nuevo Progreso,99,MX,1591809894,66,23.17,-97.95,93.0,7.0
216,Sambava,57,MG,1591809894,77,-14.27,50.17,72.81,17.38
217,Kavieng,100,PG,1591809784,74,-2.57,150.8,82.81,3.0
218,Lincoln,49,US,1591809894,49,40.8,-96.67,71.01,10.0
219,Mastic Beach,75,US,1591809625,64,40.77,-72.85,79.0,5.82
220,Anadyr,0,RU,1591809894,70,64.75,177.48,48.2,8.95
221,Talnakh,75,RU,1591809894,93,69.49,88.4,42.8,15.66
222,Makakilo City,20,US,1591809894,83,21.35,-158.09,77.0,17.13
223,Okitipupa,100,NG,1591809895,93,6.5,4.78,76.68,4.99
224,Jampur,0,PK,1591809895,16,29.64,70.6,105.13,9.1
225,Tuatapere,98,NZ,1591809895,68,-46.13,167.68,53.01,10.0
226,Mercedes,0,AR,1591809895,71,-34.65,-59.43,70.0,1.99
227,Olafsvik,59,IS,1591809895,71,64.89,-23.71,50.77,3.47
228,Jaciara,0,BR,1591809720,41,-15.97,-54.97,89.94,7.05
229,Laguna,1,US,1591809870,41,38.42,-121.42,82.99,3.36
230,Mar del Plata,46,AR,1591809648,55,-38.0,-57.56,64.0,11.41
231,Panevezys,75,LT,1591809895,82,55.73,24.35,68.0,12.75
232,Longyearbyen,20,SJ,1591809783,75,78.22,15.64,42.8,4.7
233,Dali,86,CN,1591809895,83,25.7,100.18,65.16,6.31
234,Kewanee,33,US,1591809621,66,41.25,-89.92,72.0,1.99
235,Flin Flon,75,CA,1591809895,67,54.77,-101.86,59.0,4.7
236,Sakakah,0,SA,1591809755,8,29.97,40.21,96.8,14.99
237,Provideniya,20,RU,1591809895,49,64.38,-173.3,51.55,6.33
238,Fortuna,1,US,1591809895,77,40.6,-124.16,71.01,5.82
239,Halifax,68,CA,1591809688,33,44.65,-63.57,63.0,1.99
240,Isiro,100,CD,1591809895,98,2.77,27.62,68.2,1.88
241,Jumla,41,NP,1591809895,68,29.27,82.18,59.7,1.59
242,Pacasmayo,87,PE,1591809895,66,-7.4,-79.57,71.02,15.43
243,Dunn,90,US,1591809895,76,44.95,-91.88,60.01,16.11
244,Mizdah,98,LY,1591809895,37,31.45,12.98,82.71,8.21
245,Vagay,31,RU,1591809895,56,57.94,69.02,70.56,4.92
246,Naze,90,JP,1591809895,94,28.37,129.48,78.8,5.82
247,Tagusao,100,PH,1591809895,77,9.19,117.81,81.41,3.96
248,Krasnoslobodsk,65,RU,1591809896,42,48.71,44.57,80.6,11.18
249,Pisco,40,PE,1591809896,77,-13.7,-76.22,68.0,6.93
250,Kiryat Gat,0,IL,1591809896,65,31.61,34.76,77.0,6.42
251,Half Moon Bay,20,US,1591809896,72,37.46,-122.43,71.01,4.7
252,El Tigre,86,VE,1591809896,52,8.89,-64.25,88.25,7.67
253,Anchorage,75,US,1591809896,76,61.22,-149.9,54.0,3.36
254,Maebaru-chūō,90,JP,1591809896,88,33.55,130.2,79.0,11.41
255,Otradnoye,75,RU,1591809896,77,59.78,30.82,69.8,2.24
256,Nizhnyaya Salda,4,RU,1591809896,57,58.08,60.72,69.24,2.44
257,Arganil,92,PT,1591809896,58,40.22,-8.05,69.01,10.0
258,Ucluelet,90,CA,1591809896,93,48.93,-125.55,55.99,13.87
259,Whitehorse,75,CA,1591809896,62,60.72,-135.05,52.0,5.82
260,Bela,22,IN,1591809896,27,25.93,81.98,99.82,9.08
261,Severo-Kuril'sk,100,RU,1591809896,89,50.68,156.12,42.48,9.46
262,Namie,0,JP,1591809896,84,37.48,141.0,72.0,6.85
263,Mareeba,90,AU,1591809896,77,-17.0,145.43,69.8,8.05
264,Gizo Government Station,31,SB,1591809896,73,-8.1,156.84,82.44,2.53
265,Solnechnyy,98,RU,1591809896,59,50.72,136.63,59.36,1.66
266,Yangi Marg`ilon,100,UZ,1591809896,46,40.43,71.72,71.6,9.17
267,Khatanga,100,RU,1591809896,71,71.97,102.5,51.8,9.4
268,Nyurba,100,RU,1591809896,85,63.28,118.33,40.3,5.26
269,Mayo,1,US,1591809897,78,38.89,-76.51,87.8,14.99
270,Santa Lucía,40,ES,1591809897,64,27.91,-15.54,73.4,19.46
271,Rafrāf,20,TN,1591809792,38,37.19,10.18,73.4,16.11
272,Isangel,49,VU,1591809897,79,-19.55,169.27,73.62,17.65
273,Nago,20,JP,1591809897,88,26.59,127.98,80.6,10.29
274,Makkah al Mukarramah,0,SA,1591809897,23,21.43,39.83,96.17,8.41
275,Leningradskiy,32,RU,1591809897,47,69.38,178.42,51.3,3.76
276,Tabory,0,RU,1591809897,59,58.52,64.55,68.45,3.11
277,Portland,75,US,1591809687,82,45.52,-122.68,68.0,5.82
278,Asău,59,RO,1591809897,84,46.43,26.4,63.0,1.1
279,Kandrian,100,PG,1591809784,88,-6.22,149.55,77.36,2.75
280,Baruun-Urt,8,MN,1591809897,36,46.68,113.28,59.94,7.0
281,San Vicente,62,AR,1591809897,97,-26.62,-54.13,71.53,6.96
282,Ostrovnoy,63,RU,1591809897,63,68.05,39.51,43.65,6.73
283,Tiznit Province,6,MA,1591809897,58,29.58,-9.5,68.83,10.65
284,Maroantsetra,90,MG,1591809897,80,-15.43,49.73,70.32,8.28
285,Dudinka,75,RU,1591809897,93,69.41,86.18,42.8,15.66
286,Lødingen,11,NO,1591809897,54,68.41,16.0,53.6,13.87
287,Brits,0,ZA,1591809898,44,-25.63,27.78,63.0,4.7
288,Madawaska,1,US,1591809898,30,47.36,-68.33,72.0,13.87
289,Golub-Dobrzyń,65,PL,1591809898,48,53.11,19.05,66.0,10.29
290,Savalou,67,BJ,1591809898,64,7.93,1.98,85.93,7.9
291,Tamiahua,73,MX,1591809898,72,21.27,-97.45,87.1,7.54
292,Casalmaggiore,40,IT,1591809898,94,44.99,10.42,70.0,6.93
293,Tautira,75,PF,1591809898,83,-17.73,-149.15,75.2,3.36
294,Muisne,75,EC,1591809898,83,0.6,-80.03,80.6,3.36
295,Penzance,75,GB,1591809898,93,50.12,-5.54,55.4,8.05
296,Chicama,80,PE,1591809898,56,-7.84,-79.15,74.21,10.27
297,Taksimo,66,RU,1591809883,76,56.34,114.88,45.32,3.18
298,Starokorsunskaya,15,RU,1591809898,61,45.06,39.32,84.99,6.71
299,Hong Kong,76,HK,1591809846,79,22.29,114.16,84.0,4.0
300,Madison,40,US,1591809898,58,34.73,-86.57,89.6,17.22
301,Miraflores,40,MX,1591809898,41,19.22,-98.81,77.0,13.87
302,Kaili,100,ID,1591809898,95,-3.46,120.21,68.68,0.72
303,Lagoa,90,PT,1591809898,84,39.05,-27.98,64.56,16.67
304,Bay Roberts,100,CA,1591809898,97,47.6,-53.26,48.99,7.0
305,Farah,0,AF,1591809898,18,32.5,62.5,75.04,8.34
306,Sobolevo,94,RU,1591809898,83,54.43,31.9,74.55,7.52
307,Airai,93,TL,1591809898,95,-8.93,125.41,56.89,3.65
308,Athabasca,1,CA,1591809898,51,54.72,-113.29,64.81,10.96
309,Izmaylovo,38,RU,1591809899,91,53.72,47.25,64.22,5.14
310,Sangmélima,99,CM,1591809899,93,2.93,11.98,72.23,2.8
311,Sitka,90,US,1591809899,62,57.05,-135.33,55.4,8.05
312,Kangaatsiaq,100,GL,1591809899,78,68.31,-53.46,40.86,20.4
313,Hasaki,75,JP,1591809899,83,35.73,140.83,75.0,8.05
314,Najrān,92,SA,1591809899,19,17.49,44.13,89.6,2.24
315,Ergani,40,TR,1591809899,27,38.27,39.76,82.4,8.05
316,Haradok,100,BY,1591809899,85,55.46,29.98,74.34,5.12
317,Quatre Cocos,75,MU,1591809899,78,-20.21,57.76,71.6,18.34
318,Ilulissat,75,GL,1591809669,37,69.22,-51.1,53.6,19.46
319,Hakui,72,JP,1591809899,90,36.88,136.78,73.99,2.62
320,Likasi,38,CD,1591809899,52,-10.98,26.73,61.38,1.68
321,Ondangwa,0,NA,1591809899,23,-17.92,15.95,73.4,5.88
322,Bom Jesus,23,BR,1591809899,47,-9.07,-44.36,88.09,6.4
323,Reutlingen,100,DE,1591809899,91,48.49,9.2,54.0,4.32
324,Province of Trapani,20,IT,1591809870,68,37.83,12.67,71.6,8.05
325,Zárate,2,AR,1591809899,71,-34.1,-59.03,70.0,1.99
326,Kiama,92,AU,1591809899,94,-34.68,150.87,55.0,9.98
327,Yerbogachën,91,RU,1591809884,72,61.28,108.01,49.01,3.38
328,Kapaa,90,US,1591809900,83,22.08,-159.32,77.0,16.11
329,Imbituba,75,BR,1591809900,93,-28.24,-48.67,66.2,3.36
330,Beloha,0,MG,1591809900,67,-25.17,45.05,67.95,11.65
331,Rassvet,25,RU,1591809900,67,46.83,40.75,75.65,5.84
332,Ajdabiya,31,LY,1591809900,48,30.76,20.23,80.04,18.88
333,North Myrtle Beach,40,US,1591809738,83,33.82,-78.68,87.01,13.87
334,Tucumã,97,BR,1591809900,91,-0.18,-50.05,77.72,5.84
335,Katra,44,IN,1591809900,41,32.98,74.95,81.48,10.18
336,Adrar,0,MR,1591809900,18,20.5,-10.07,101.52,9.35
337,Katsuura,75,JP,1591809900,94,35.13,140.3,75.0,12.75
338,Pochutla,75,MX,1591809900,62,15.74,-96.47,87.8,5.12
339,Coquimbo,95,CL,1591809900,67,-29.95,-71.34,59.0,6.93
340,Mfou,40,CM,1591809900,83,3.72,11.64,78.8,4.7
341,Kankaanpää,0,FI,1591809900,45,61.8,22.42,72.0,11.41
342,Clyde River,90,CA,1591809900,93,70.47,-68.59,32.0,14.99
343,Auki,24,SB,1591809900,82,-8.77,160.7,78.66,3.4
344,San Nicolas,98,PH,1591809900,75,18.17,120.6,81.43,5.1
345,Salinas,1,US,1591809828,49,36.68,-121.66,73.99,3.89
346,Basco,70,PH,1591809901,81,20.45,121.97,84.07,15.17
347,Acapulco de Juárez,5,MX,1591809840,74,16.86,-99.89,84.2,9.17
348,La Santisima Trinidad,20,BO,1591809901,66,-14.83,-64.9,87.8,9.17
349,Ruska Poliana,0,UA,1591809901,73,49.42,31.92,75.67,7.16
350,Bac Lieu,100,VN,1591809901,78,9.29,105.72,82.51,5.53
351,Bhīmunipatnam,75,IN,1591809901,94,17.88,83.43,78.8,4.7
352,Bosaso,7,SO,1591809901,39,11.28,49.18,94.64,4.5
353,Praia,20,CV,1591809901,69,14.92,-23.51,82.4,5.82
354,Usinsk,100,RU,1591809901,53,65.99,57.53,61.25,8.9
355,Kinkala,40,CG,1591809901,69,-4.36,14.76,80.6,5.82
356,Gornyy,64,RU,1591809901,96,55.12,83.91,47.1,3.24
357,Vuktyl,100,RU,1591809901,76,63.86,57.31,68.92,4.7
358,Dogondoutchi,26,NE,1591809901,23,13.64,4.03,101.28,4.76
359,Port Elizabeth,2,ZA,1591809602,59,-33.92,25.57,64.4,10.29
360,Sironj,55,IN,1591809901,35,24.1,77.7,92.3,9.17
361,Henties Bay,3,NA,1591809902,90,-22.12,14.28,60.01,8.77
362,Hailar,49,CN,1591809902,87,49.2,119.7,50.9,9.08
363,Leninskoye,100,RU,1591809902,96,47.94,132.62,58.77,6.4
364,Grafton,1,US,1591809902,49,42.21,-71.69,79.0,8.05
365,Yenagoa,100,NG,1591809902,83,4.92,6.26,80.29,5.99
366,Prince Rupert,1,CA,1591809902,71,54.32,-130.32,55.4,8.05
367,Channel-Port aux Basques,0,CA,1591809902,65,47.57,-59.14,47.32,14.47
368,Kalmunai,100,LK,1591809902,73,7.42,81.82,83.66,5.53
369,Marzuq,48,YE,1591809902,22,14.4,46.47,89.44,0.27
370,Katobu,82,ID,1591809902,92,-4.94,122.53,74.03,3.13
371,Kamenka,66,RU,1591809902,59,51.32,42.77,75.99,3.0
372,Turukhansk,100,RU,1591809902,88,65.82,87.98,57.54,18.48
373,Inírida,64,CO,1591809902,60,3.87,-67.92,89.11,2.55
374,Assiut,0,EG,1591809697,18,27.18,31.18,102.2,12.75
